fecha_factura,ingreso_al_sistema,doc,documento,proveedor,documento_1,valor_base,valor_iva,valor_total,plazo,fecha_vencimiento,mes,ano,dias_cartera,rte_fuente,rte_ica,descuentos,rte_fuente_1,rte_ica_1,total_abonos,saldo_a_pagar,unnamed_21,unnamed_22,unnamed_23,unnamed_24,total_abonado,n_abonos,ultimo_abono,saldo_pendiente,dias_por_pagar,dias_vencido,tramo_aging
2025-12-03,2025-12-05,R,29294,Infantiles ABBA,0,1013050.0,0.0,1013050.0,30.0,2026-01-02,1.0,2026.0,0.0,SI,NO,50652.5,0.0,0.0,962396.0,-0.5,,,,,962396.0,1.0,2025-12-06,50654.0,-200,200,vencida_>90
2025-11-29,2025-12-09,F,FA5812,Armaty,0,6629440.0,1259593.0,7889033.0,30.0,2025-12-29,12.0,2025.0,0.0,SI,NO,331472.0,165736.0,0.0,7391825.0,0.0,,,,,7391825.0,1.0,2026-02-05,497208.0,-204,204,vencida_>90
2025-12-11,2025-12-13,F,FE2540,Grupo Family & Home,0,15267226.0,2900772.0,18167998.0,60.0,2026-02-09,2.0,2026.0,0.0,SI,SI,,381680.65,117557.6402,17668760.0,-0.2902,,,,,17668760.0,1.0,2026-02-03,499238.0,-162,162,vencida_>90
2025-12-11,2025-12-13,F,FE1371,Grupo Family & Home,0,10890800.0,2069252.0,12960052.0,60.0,2026-02-09,2.0,2026.0,0.0,SI,SI,,272270.0,83859.16,12603923.0,-0.16,,,,,12603923.0,1.0,2026-01-28,356129.0,-162,162,vencida_>90
2025-12-11,2025-12-13,F,FE1372,Grupo Family & Home,0,940336.0,178663.0,1118999.0,60.0,2026-02-09,2.0,2026.0,0.0,SI,SI,,23508.4,7240.5872,1088250.0,-0.2872,,,,,1088250.0,1.0,2026-01-28,30749.0,-162,162,vencida_>90
2025-11-29,2025-12-15,F,FA5814,Armaty,0,1967160.0,373760.0,2340920.0,30.0,2025-12-29,12.0,2025.0,0.0,SI,NO,98358.0,49179.0,0.0,2193383.0,0.0,Llego a bodega el 15 de diciembre del 25,,,,2193383.0,1.0,2026-02-05,147537.0,-204,204,vencida_>90
2025-12-12,2025-12-15,F,FE8209,Infantiles ABBA,0,4113508.0,781566.0,4895074.0,30.0,2026-01-11,1.0,2026.0,0.0,SI,NO,205675.4,102837.7,0.0,4586560.0,-0.1,,,,,4586560.0,1.0,2026-01-02,308514.0,-191,191,vencida_>90
2025-12-12,2025-12-15,R,29368,Infantiles ABBA,0,4109472.0,0.0,4109472.0,30.0,2026-01-11,1.0,2026.0,0.0,SI,NO,205473.6,0.0,0.0,3903998.0,-0.1,,,,,3903998.0,1.0,2025-12-30,205474.0,-191,191,vencida_>90
2025-12-13,2025-12-15,F,DRY538883,Softys,0,21970017.0,4174303.0,26144320.0,60.0,2026-02-11,2.0,2026.0,0.0,SI,NO,659100.51,549250.425,0.0,24935969.0,-0.1350000001,,,,,24935969.0,2.0,2026-02-12,1208351.0,-160,160,vencida_>90
2025-12-17,2025-12-19,F,FG8734,Laboratorio San Jorge SAS,0,12028184.0,907919.0,12936103.0,0.0,2025-12-17,12.0,2025.0,0.0,SI,SI,,300704.6,92617.0168,12275284.0,-0.6168,-267497.6168,,,,12275284.0,1.0,2025-12-16,660819.0,-216,216,vencida_>90
