cod_interno,descripcion,categoria,marca_proveedor,venta_total,venta_bruta,costo_total,cantidad_vendida,margen_bruto,margen_bruto_pct,precio_venta_promedio,costo_promedio,acum_pct,clasificacion_abc
15065,CORTAUNAS MASCOTA PEQUENO LE345,OTROS,MASCOTA,15490.06,16000,12646.72,2,2843.0,0.1835,7745.0,6323.0,0.9998888350979042,C
15055,CUCHARA MASCOTA DGZ2025-4,OTROS,MASCOTA,19178.64,19810,15658.220000000001,2,3520.0,0.1835,9589.0,7829.0,0.9998394924745997,C
15047,JUGUETE MASCOTA DOUGEZ CK008,JUGUETES Y ACCESORIOS,MASCOTA,5808.78,6000,4742.52,1,1066.0,0.1835,5809.0,4743.0,0.9999884628324517,C
15046,JUGUETE MASCOTA DOUGEZ CK011,JUGUETES Y ACCESORIOS,MASCOTA,19178.64,19810,15658.220000000001,2,3520.0,0.1835,9589.0,7829.0,0.9998384157311475,C
15045,JUGUETE MASCOTA DOUGEZ CK030,JUGUETES Y ACCESORIOS,MASCOTA,7841.85,8100,6402.4,1,1439.0,0.1835,7842.0,6402.0,0.9999730449023208,C
15059,COMEDERO MASCOTA PEQUENO HL0219-1,OTROS,MASCOTA,38725.17,40000,31616.79,8,7108.0,0.1835,4841.0,3952.0,0.999508068170529,C
15013,ANDADERA MUSICAL TREN 6062,CAMINADORES Y MONTABLES,CHINA,2963263.62,3076600,2419755.2199999997,32,543508.0,0.1834,92602.0,75617.0,0.90683174340069,B
15002,SET TAPPER 680 ML X 2,OTROS,HOGAR,203539.69,211700,166217.54,73,37322.0,0.1834,2788.0,2277.0,0.9967889407789668,C
15006,VASO SALPICON PRAKTIPLAS,OTROS,HOGAR,79549.03,82500,64956.030000000006,75,14593.0,0.1834,1061.0,866.0,0.9987485612258278,C
15000,SET TAPPER RECTANGULAR 330 ML X 3,OTROS,HOGAR,663223.9400000001,694400,541735.88,217,121488.0,0.1832,3056.0,2496.0,0.9867669657862532,C
15003,SET TAPPER 930 ML X 2,OTROS,HOGAR,381671.37,399600,311757.21,108,69914.0,0.1832,3534.0,2887.0,0.9933438697797415,C
15049,JUGUETE MASCOTA DOUGEZ ER164,JUGUETES Y ACCESORIOS,MASCOTA,32274.42,33800,26362.68,3,5912.0,0.1832,10758.0,8788.0,0.9996338385961122,C
14552,BOLSA LECHE MATERNA X 30 BOGGY 33462,CUIDADO FEMENINO Y MATERNIDAD,PANAMA,2917036.24,2993900,2383007.79,107,534028.0,0.1831,27262.0,22271.0,0.907325494841733,B
15004,SET TAPPER PEQUENO 330 ML X 2,OTROS,HOGAR,357906.02999999997,376200,292385.33,171,65521.0,0.1831,2093.0,1710.0,0.9938819517773161,C
15001,SET TAPPER REDONDO 350 ML X 3,OTROS,HOGAR,355169.20999999996,374400,290178.72,144,64990.0,0.183,2466.0,2015.0,0.9939419925256746,C
15009,TAPPER RECTANGULAR 3 L SURTIDO,OTROS,HOGAR,512263.29,540000,418527.0,100,93736.0,0.183,5123.0,4185.0,0.9904835206656503,C
15008,TAPPER CUADRADO 1 KG SURTIDO,OTROS,HOGAR,350995.22,370000,286768.5,200,64227.0,0.183,1755.0,1434.0,0.9941004993923022,C
14175,CHILLON FUNNY X 6 BL 2306 - 102,OTROS,CHINA,1899707.79,1954294,1552999.23,237,346709.0,0.1825,8016.0,6553.0,0.9458030488405611,B
8946,ARNES AIEBAO 2018,OTROS,CHINA,2850774.04,2930296,2330462.53,106,520312.0,0.1825,26894.0,21985.0,0.9092689792701141,B
14428,CUNA COLECHO BL2306 - 254,MOBILIARIO INFANTIL,CHINA,2252901.4899999998,2309563,1841967.0,9,410934.0,0.1824,250322.0,204663.0,0.9317320326573014,B
