producto,stock_actual,costo_total_inventario,costo_unitario_inventario,categoria_producto
TETERO 13 OZ BOOGY 21438,2,26820,13410.0,BIBERONES Y EXTRACTORES
TETERO 14 OZ BOOGY 21447,2,26634,13317.0,BIBERONES Y EXTRACTORES
VASO 12 OZ BOOGY 21974,2,24340,12170.0,OTROS
TETERO 16 OZ INFAN TEC BIP 1387,2,20930,10465.0,BIBERONES Y EXTRACTORES
VASO 11 OZ INFANTEC BIP 1456,2,18772,9386.0,OTROS
TETERO 4 OZ INFANTEC BIP 1396,2,15650,7825.0,BIBERONES Y EXTRACTORES
TRUCK RETROEXCAVADORA CAMPIONI,2,14112,7056.0,OTROS
ASPIRADOR NASAL BOOGY 20892,2,8966,4483.0,OTROS
CUCHARA SILICONA WAKIDS 76700,2,8536,4268.0,OTROS
LLAMADIENTE BOOGY 20929,2,7502,3751.0,OTROS
CEPILLO HAIR BRUSH 0213 - 1,2,7414,3707.0,OTROS
ENTRETENEDOR INFANTEC BIP 1539,2,7126,3563.0,OTROS
COCHE SPECTRUM SPL 1600,1,598720,598720.0,COCHES Y PORTEO
COCHE HAPPY BABY FAST BLUE AZUL,1,408170,408170.0,COCHES Y PORTEO
CORRAL BEBESITOS ST 3600 - 533,1,378143,378143.0,MOBILIARIO INFANTIL
CORRAL BEBESITOS ST 3700 - 543,1,378143,378143.0,MOBILIARIO INFANTIL
CORRAL BEBESITOS ST 3700 - 549,1,378143,378143.0,MOBILIARIO INFANTIL
CORRAL BEBESITOS ST 3700 - 552,1,378143,378143.0,MOBILIARIO INFANTIL
CORRAL BEBESITOS BS 1100 - 540,1,293143,293143.0,MOBILIARIO INFANTIL
COCHE VENETO PRIORI GRIS,1,212415,212415.0,COCHES Y PORTEO
COCHE VENETO PRIORI PURPURA,1,212415,212415.0,COCHES Y PORTEO
COCHE BL 2306 - 246,1,204517,204517.0,COCHES Y PORTEO
COCHE HAPPY BABY DALLAS - BLK NEGRO,1,149940,149940.0,COCHES Y PORTEO
COCHE HAPPY BABY DALLAS - PNK ROSADO,1,149940,149940.0,COCHES Y PORTEO
COCHE PASEADOR BABY BL 2306 - 262,1,116087,116087.0,CAMINADORES Y MONTABLES
COCHE PASEADOR BABYLAND BL 2306 - 242,1,106348,106348.0,CAMINADORES Y MONTABLES
BAÑERA PLEGABLE COJIN TERMOMETRO BL 2306 - 334,1,92353,92353.0,BAÑO BEBÉ (BAÑERAS Y BACINES)
BAÑERA PLEGABLE COJIN TERMOMETRO BL 2306 - 316,1,82623,82623.0,BAÑO BEBÉ (BAÑERAS Y BACINES)
BAÑERA PLEGABLE COJIN VALDE BL 2306 - 312,1,73517,73517.0,BAÑO BEBÉ (BAÑERAS Y BACINES)
CALENTADOR LECHE BOOGY 33579,1,57911,57911.0,ALIMENTOS Y BEBIDAS
SILLA MECEDORA ABBA 1064,1,55835,55835.0,MOBILIARIO INFANTIL
COCHECITO MOISES ABBA 1106,1,48979,48979.0,MOBILIARIO INFANTIL
KIT VAJILLA SILICONA BL 2412+083,1,28041,28041.0,OTROS
BACENILLA TIPO SILLA 2 EN 1 REF 1218,1,25000,25000.0,OTROS
BOLSA LECHE MATERNA X 30 BOGGY 33462,1,21815,21815.0,CUIDADO FEMENINO Y MATERNIDAD
EXTRACTOR BOOGY 20001,1,20172,20172.0,BIBERONES Y EXTRACTORES
PAÑALERA BEELLT BL 2306-92,1,18988,18988.0,PAÑALES
PAÑAL ECOLOGICO BOOGY 33278,1,17862,17862.0,PAÑALES
TETERO 15 OZ BOOGY 21435,1,17459,17459.0,BIBERONES Y EXTRACTORES
MANTILLA BIZUBEE KOLACO SZ 12,1,15344,15344.0,OTROS
TETERO 14 OZ INFANTEC BIP 1128,1,15217,15217.0,BIBERONES Y EXTRACTORES
FLOTADOR BESTWAY 34037,1,14560,14560.0,OTROS
TETERO 16 OZ BOOGY 21975,1,14290,14290.0,BIBERONES Y EXTRACTORES
TETERO 15 OZ BOOGY 21441,1,13973,13973.0,BIBERONES Y EXTRACTORES
DIDACTICO PIANO COW BL 2306 - 173,1,11670,11670.0,OTROS
VASO 11 OZ BOOGY 21407,1,11329,11329.0,OTROS
VASO 11 ONZ BOOGY 33466,1,11133,11133.0,OTROS
TETERO 15 OZ INFANTEC BIP 1482,1,10840,10840.0,BIBERONES Y EXTRACTORES
TETERO 10 OZ INFANTEC GB 1243,1,8639,8639.0,BIBERONES Y EXTRACTORES
VASO INFANTEC BIP 1197,1,8420,8420.0,OTROS
MEDIA NOOR PHX 132,1,7904,7904.0,ROPA Y TEXTIL
MEDIA BABY SHOCK AN02 - 239,1,7108,7108.0,ROPA Y TEXTIL
PORTALECHE BOOGY 15995,1,6014,6014.0,ALIMENTOS Y BEBIDAS
CEPILLO PEINE BOOGY 20764,1,5641,5641.0,OTROS
ENTRETENEDOR INFANTEC GB 1363,1,4441,4441.0,OTROS
ENTRETENEDOR CINTA DR GYM BL 2306 - 60,1,3889,3889.0,OTROS
TETERO 2 OZ INFANTEC GB 0563,1,3634,3634.0,BIBERONES Y EXTRACTORES
PORTALECHE FD 19,1,3577,3577.0,ALIMENTOS Y BEBIDAS
ENTRETENEDOR BOOGY 19654,1,2619,2619.0,OTROS
CADENA DR GYM BL 2306 - 69,1,2063,2063.0,OTROS
