producto,stock_actual,costo_total_inventario,costo_unitario_inventario,categoria_producto
PAÑALERA DEELLT BL 2412+016,151,5766690,38190.0,PAÑALES
MANTILLA RACCON BABY AH02-511,150,4052400,27016.0,OTROS
MALLA FRUTA INFANTEC BIP 1480,150,1674750,11165.0,OTROS
DIDACTICO MINI CAMERA HJ 8029,150,1150350,7669.0,OTROS
JABONERA OSO X 3 J 23417-2,150,735000,4900.0,HIGIENE PERSONAL
CHILLON X 6 BATH TOYS BL 2306 - 148,149,984890,6610.0,OTROS
LLAMADIENTE X 2 DR GYM BL 2306 - 62,149,490210,3290.0,OTROS
PAÑALERA DEELLT BL 2412+020,145,4112925,28365.0,PAÑALES
ESCOBILLON BOOGY 20676,145,1065170,7346.0,OTROS
CHILLON FUNNY X 5 BL 2306 - 104,145,776330,5354.0,OTROS
SONAJERO MUSICAL INSTRUMENTS X 6 BL 2306 - 166,143,1344629,9403.0,JUGUETES Y ACCESORIOS
CHILLON X 6 BATH TOYS BL 2306 - 152,142,568000,4000.0,OTROS
MOVIL CUNA BABE BED BELL BL 2306-256,141,3656412,25932.0,MOBILIARIO INFANTIL
DIDACTICO ANIMAL MUSIC BL 2306 - 187,141,1773780,12580.0,OTROS
SET CUCHARAS BOOGY 20647,141,1221342,8662.0,OTROS
ENTRETENEDOR ONLY BL 2306 - 40,141,785793,5573.0,OTROS
SET DE ASEO ONLY BL 2306-46,141,607287,4307.0,OTROS
TETERO ONLY 11 ONZ A 1DJ,140,923020,6593.0,BIBERONES Y EXTRACTORES
PAÑALERA DEELLT BL 2412+019,138,4472856,32412.0,PAÑALES
MAMELUCO TEDMIMAK X 5 MANGA LARGA X 66002,138,4060098,29421.0,OTROS
CHILLON FUNNY X 5 BL 2306 - 105,138,876576,6352.0,OTROS
CEPILLO PEINE BOOGY 21950,138,785772,5694.0,OTROS
CEPILLO INFAN TEC BIP 1295,138,777354,5633.0,OTROS
ENTRETENEDOR MAGIC FOREST BIP 1222,138,628038,4551.0,OTROS
ENTRETENEDOR CADENA BOOGY 18628,137,883239,6447.0,OTROS
CHILLON FUNNY X 4 BL 2306 - 108,136,932144,6854.0,OTROS
JABONERA BOOGY 17370,136,343536,2526.0,HIGIENE PERSONAL
PLATO OVNI ANTIDERRAME BL 2412+090,134,1346968,10052.0,OTROS
PAÑALERA CHICCO BL 2412+023,133,4980185,37445.0,PAÑALES
CUCHARA INFAN TEC BIP 1226,133,668192,5024.0,OTROS
SILLA PRAKTICOMEDOR INFANTIL,132,10273296,77828.0,MOBILIARIO INFANTIL
PISTA DIDACTICA DUDU TRAIN 65123,132,3588948,27189.0,OTROS
PELUCHE MUSICAL BABY FANS FK 8013,132,2616768,19824.0,JUGUETES Y ACCESORIOS
DIDACTICO MINI RADI HJ 8019,132,1016928,7704.0,OTROS
TABLET DIDACTICA GATO SMART BL 2306 - 143,132,708312,5366.0,OTROS
TETERO 2 OZ BOOGY 21930,132,490248,3714.0,BIBERONES Y EXTRACTORES
SET DE CEPILLOS BOOGY 21977,131,1037651,7921.0,OTROS
EXTRACTOR BOOGY 20069,131,1008700,7700.0,BIBERONES Y EXTRACTORES
ARNES MOBY BABY 800,130,1669330,12841.0,OTROS
CINTA INFANTEC BIP 1039,130,668720,5144.0,OTROS
SONAJERO X 4 BABY RATTLE BL 2306 - 196,130,579150,4455.0,JUGUETES Y ACCESORIOS
MALLA FRUTA INFANTEC BIP 1404,128,1110272,8674.0,OTROS
TETERO 15 OZ BOOGY 21475,127,1747774,13762.0,BIBERONES Y EXTRACTORES
BUTACO PEQUEÑO STICKER ARMATY,127,1091057,8591.0,OTROS
TETERO 2 OZ INFAN TEC GB 1219,127,529463,4169.0,BIBERONES Y EXTRACTORES
ENTRETENEDOR INFANTE GB-1087,126,749448,5948.0,OTROS
ENTRETENEDOR CADENA BOOGY 33265,126,666540,5290.0,OTROS
LLAMADIENTE BOOGY 21453,126,639954,5079.0,OTROS
SONAJERO X 4 BABY TOYS BL 2306 - 195,126,599382,4757.0,JUGUETES Y ACCESORIOS
VASO MULTIUSOS BOOGY 18120,125,1097375,8779.0,OTROS
TETERO SILICONA INFAN TEC BIP 1331,124,1327916,10709.0,BIBERONES Y EXTRACTORES
MALLA FRUTA BOOGY 20920,124,1032548,8327.0,OTROS
SILLA INFANTIL ARMATY DIDACTICA PELETIZADO,122,995764,8162.0,OTROS
MOVIL MUSICAL PELUCHE HAPPY SHAKING BL 2306 - 257,121,3228522,26682.0,JUGUETES Y ACCESORIOS
SONAJERO X 4 BABY STAR BL 2306 - 194,121,561319,4639.0,JUGUETES Y ACCESORIOS
CEPILLO DEDO INFANTEC GB 1380,121,551276,4556.0,OTROS
DIDACTICO RADIO HJ 8087,120,1140000,9500.0,OTROS
ENTRETENEDOR INFANTEC BIP 1143,120,557400,4645.0,OTROS
CEPILLO PEINE ONLY BL 2306-31,120,533640,4447.0,OTROS
ENTRETENDOR BOOGY 33256,120,392520,3271.0,OTROS
VASO 13 OZ BOOGY 21413,119,1440614,12106.0,OTROS
ESTUCHE ASEO BABY CARE KIT BL 2412+109,119,910350,7650.0,ESTUCHES Y KITS REGALO
CARGADOR ARNES BL 2306 - 274,118,3129006,26517.0,OTROS
VASO INFAN TEC BIP 1348,118,1892248,16036.0,OTROS
SONAJERO PELUCHE TOLELE BL 2306 - 346,118,1502494,12733.0,JUGUETES Y ACCESORIOS
CARGADOR ARNES BL 2306 - 275,116,2225924,19189.0,OTROS
SONAJERO PELUCHE BABYFANS BL 2306 - 345,116,1583168,13648.0,JUGUETES Y ACCESORIOS
VASO 11 OZ BOOGY 21412,116,1501736,12946.0,OTROS
TETERO CUCHARA MALLA ONLY BL 2306-27,116,903060,7785.0,BIBERONES Y EXTRACTORES
PORTALECHE MIMO 15141,115,549470,4778.0,ALIMENTOS Y BEBIDAS
PELUCHE SONAJERO LELEBE YMY 622,114,2030112,17808.0,JUGUETES Y ACCESORIOS
LLAMADIENTES BOOGY 20804,114,921804,8086.0,OTROS
CARGADOR AIEBAO BL 2412+099,113,3662669,32413.0,COCHES Y PORTEO
PAÑALERA BABY SKY BL 2412+022,113,3239484,28668.0,PAÑALES
ENTRETENEDOR INFANTEC BGBP 509,113,984569,8713.0,OTROS
JABONERA BOOGY 20885,113,264533,2341.0,HIGIENE PERSONAL
TOALLA ANIMALES OK BABY BL 2412+035,112,2331392,20816.0,OTROS
TETERO 12 OZ WAKIDS 76190,111,844044,7604.0,BIBERONES Y EXTRACTORES
SET MANICURE BOOGY 20796,111,717282,6462.0,OTROS
TETERO 2 OZ BOOGY 21929,111,412254,3714.0,BIBERONES Y EXTRACTORES
CEPILLO DEDO X 3 BOOGY 33234,111,347763,3133.0,OTROS
TETERO 2 OZ INFAN TEC GBS 401,110,460460,4186.0,BIBERONES Y EXTRACTORES
ENTRETENEDOR CADENA BOOGY GB 1228,109,638195,5855.0,OTROS
ASPIRADOR NASAL BOOGY 21963,109,550123,5047.0,OTROS
MANTILLA BL 2412+036,108,2446200,22650.0,OTROS
CORTAUÑAS BOOGY 19226,108,304128,2816.0,OTROS
ZAPATO BABY SHOES,107,540029,5047.0,OTROS
EXTRACTOR ELECTRICO ONLY A 246,104,4569136,43934.0,BIBERONES Y EXTRACTORES
LLAMADIENTE BOOGY 20930,104,402896,3874.0,OTROS
PELUCHE SONAJERO LELEBE YMY 610,103,1742348,16916.0,JUGUETES Y ACCESORIOS
VASO JUGO INFANTEC BIP 1179,103,848926,8242.0,ALIMENTOS Y BEBIDAS
SET DE ASEO ONLY BL 2306-22,103,533025,5175.0,OTROS
MESA INFANTIL ARMATY DISEÑOS,102,5274012,51706.0,MOBILIARIO INFANTIL
PAÑALERA BL 2412+021,102,2218500,21750.0,PAÑALES
MOVIL PELUCHE BABY FANS 21705,102,2151486,21093.0,JUGUETES Y ACCESORIOS
PIANO MUSIC BEL 5099,102,1027548,10074.0,OTROS
VASO PITILLO BOOGY 18426,102,904026,8863.0,OTROS
DIDACTICO PIANO BL 2306 - 175,101,1309162,12962.0,OTROS
