cod_interno,descripcion,categoria_producto,ultima_venta,venta_total_hist,cantidad_ultimo_trimestre,stock_actual,costo_total_inventario,dias_sin_venta,clasificacion_rotacion,promedio_venta_mensual,meses_inventario
13424,GUANTE MORDEDOR BOOGY 21426,JUGUETES Y ACCESORIOS,2026-07-06,365688,8.0,341.0,4034712.0,12,ACTIVO,2.67,127.7
6,COBIJA DISNEY,ROPA Y TEXTIL,2026-07-18,52606050,101.0,56.0,3808000.0,0,ACTIVO,33.67,1.7
14163,MOVIL MUSICAL PASTA HAPPY SHAKING BL 2306 - 242,OTROS,2026-07-16,569100,1.0,160.0,3716960.0,2,ACTIVO,0.33,484.8
14079,MOVIL CUNA BABE BED BELL BL 2306-256,MOBILIARIO INFANTIL,2026-07-14,3898864,14.0,141.0,3656412.0,4,ACTIVO,4.67,30.2
9661,SHAMPOO ARRURRU X 750 CABELLO CLARO,ESTUCHES Y KITS REGALO,2026-07-18,53873069,341.0,131.0,3498224.0,0,ACTIVO,113.67,1.2
13315,ENTRETENEDOR ONLY BL 2306-18,OTROS,2026-07-14,2956929,93.0,613.0,3424831.0,4,ACTIVO,31.0,19.8
6720,EXTRACTOR DR GYM BL 2306 - 58,BIBERONES Y EXTRACTORES,2026-07-07,2682954,37.0,1002.0,3284556.0,11,ACTIVO,12.33,81.3
14165,MOVIL MUSICAL PELUCHE HAPPY SHAKING BL 2306 - 257,JUGUETES Y ACCESORIOS,2026-07-16,3235564,9.0,121.0,3228522.0,2,ACTIVO,3.0,40.3
14634,LIMA ELECTRICA BEBE 7350 K,OTROS,2026-07-16,5364600,93.0,499.0,3161664.0,2,ACTIVO,31.0,16.1
11012,SHAMPOO HAPPY SOFT MANZANILLA X 1000,HIGIENE PERSONAL,2026-07-18,67317852,525.0,222.0,3108000.0,0,ACTIVO,175.0,1.3
11013,SHAMPOO HAPPY SOFT NATURAL X 1000,HIGIENE PERSONAL,2026-07-17,44964052,279.0,219.0,3066000.0,1,ACTIVO,93.0,2.4
11014,SHAMPOO HAPPY SOFT ROMERO X 1000,HIGIENE PERSONAL,2026-07-17,59924902,406.0,216.0,3024000.0,1,ACTIVO,135.33,1.6
14645,REPUESTO MALLA FRUTA BL 2412+096,OTROS,2026-07-11,172800,15.0,5918.0,3000426.0,7,ACTIVO,5.0,1183.6
3177,EXTRACTOR BOOGY 16653,BIBERONES Y EXTRACTORES,2026-07-10,4660984,117.0,506.0,2976292.0,8,ACTIVO,39.0,13.0
14624,GIMNASIO PELOTAS 668+33,JUGUETES Y ACCESORIOS,2026-07-18,5265200,10.0,32.0,2900128.0,0,ACTIVO,3.33,9.6
14646,GIMNASIO PELOTAS 668+32,JUGUETES Y ACCESORIOS,2026-06-24,6405700,17.0,33.0,2871231.0,24,ACTIVO,5.67,5.8
13648,VOLQUETA GRANDE CAMPIONI,OTROS,2026-07-06,9570284,26.0,242.0,2762430.0,12,ACTIVO,8.67,27.9
110,CREMA YODORA 32+32,CREMAS Y CUIDADO PIEL,2026-07-18,32354553,190.0,188.0,2717164.0,0,ACTIVO,63.33,3.0
122,CREMA YODORA 32+32,CREMAS Y CUIDADO PIEL,2026-07-17,117811887,474.0,188.0,2717164.0,1,ACTIVO,158.0,1.2
14034,MALLA FRUTA ONLY BL 2306-35,OTROS,2026-07-17,1417472,36.0,651.0,2713368.0,1,ACTIVO,12.0,54.2
13441,TETERO 15 OZ BOOGY 21482,BIBERONES Y EXTRACTORES,2026-07-06,4767448,35.0,178.0,2675696.0,12,ACTIVO,11.67,15.3
8677,COLONIA ARRURRU X 400 ROSADA,ESTUCHES Y KITS REGALO,2026-07-17,29862412,63.0,75.0,2642325.0,1,ACTIVO,21.0,3.6
13734,TETERO ONLY 4 ONZ A 3,BIBERONES Y EXTRACTORES,2026-07-18,13040030,583.0,606.0,2540352.0,0,ACTIVO,194.33,3.1
10141,CEPILLO DEDO DR GYM BL 2306 - 51,OTROS,2026-07-18,1661280,139.0,2178.0,2519946.0,0,ACTIVO,46.33,47.0
13432,MALLA FRUTA BOOGY 21431,OTROS,2026-07-15,1509140,14.0,255.0,2494920.0,3,ACTIVO,4.67,54.6
9664,SHAMPOO ARRURRU X 750 CABELLO OSCURO,ESTUCHES Y KITS REGALO,2026-07-17,38338729,315.0,93.0,2483472.0,1,ACTIVO,105.0,0.9
13420,LLAMADIENTE BOOGY 21382,OTROS,2026-07-01,1925705,80.0,646.0,2458030.0,17,ACTIVO,26.67,24.2
84,ESTUCHE ARRURRU RECIEN NACIDO,ESTUCHES Y KITS REGALO,2026-07-18,41682158,301.0,76.0,2453052.0,0,ACTIVO,100.33,0.8
14608,MANTILLA BL 2412+036,OTROS,2026-07-17,4231100,23.0,108.0,2446200.0,1,ACTIVO,7.67,14.1
14529,ENTRETENEDOR CADENA BOOGY 21486,OTROS,2026-06-27,579400,38.0,492.0,2390628.0,21,ACTIVO,12.67,38.8
8300,VAJILLA SUCTION BOWL BL 2412+092,OTROS,2026-07-17,8452250,94.0,381.0,2337054.0,1,ACTIVO,31.33,12.2
571,CREMA ARRURRU X 120 ORIGINAL,ESTUCHES Y KITS REGALO,2026-07-17,7205238,86.0,277.0,2311565.0,1,ACTIVO,28.67,9.7
11388,COLCHONETA ABBA 70 X 110 REF 1026,MOBILIARIO INFANTIL,2026-07-01,11593634,23.0,61.0,2279387.0,17,ACTIVO,7.67,8.0
14035,MALLA FRUTA ONLY BL 2306-36,OTROS,2026-07-17,1185442,31.0,563.0,2267764.0,1,ACTIVO,10.33,54.5
14251,CARGADOR ARNES BL 2306 - 275,OTROS,2026-07-06,2853523,6.0,116.0,2225924.0,12,ACTIVO,2.0,58.0
14535,TETERO 16 ONZ BOOGY 21970,BIBERONES Y EXTRACTORES,2026-07-02,4538400,18.0,167.0,2161815.0,16,ACTIVO,6.0,27.8
13422,RODILLERA BOOGY 21397,OTROS,2026-07-10,2560706,5.0,440.0,2115520.0,8,ACTIVO,1.67,263.5
14625,GIMNASIO PELOTAS 668+31,JUGUETES Y ACCESORIOS,2026-06-19,4789000,14.0,24.0,2088168.0,29,ACTIVO,4.67,5.1
14012,CARRO BOMBERO MUSICAL CAMPIONI,OTROS,2026-07-11,27852000,12.0,90.0,2054610.0,7,ACTIVO,4.0,22.5
796,SILLA INFANTIL ARMATY ORIGINAL,OTROS,2026-07-17,9858066,72.0,162.0,2051082.0,1,ACTIVO,24.0,6.8
14069,SONAJERO X 8 LUCKY KING BL 2306-237,JUGUETES Y ACCESORIOS,2026-07-06,1624494,22.0,271.0,2032229.0,12,ACTIVO,7.33,37.0
74,COLCHONETA EXTRAGRANDE ABBA 1027,MOBILIARIO INFANTIL,2026-07-17,30780322,82.0,46.0,1993916.0,1,ACTIVO,27.33,1.7
2189,CAMPING DE LUJO ABBA 1211,MOBILIARIO INFANTIL,2026-07-18,56620406,233.0,51.0,1992825.0,0,ACTIVO,77.67,0.7
11478,ENTRETENEDOR ONLY BL 2306-33,OTROS,2026-07-18,1575558,74.0,850.0,1961800.0,0,ACTIVO,24.67,34.5
14550,VASO 16 ONZ BOOGY 33464,OTROS,2026-06-20,2036800,14.0,196.0,1957648.0,28,ACTIVO,4.67,42.0
14579,CORRAL COLECHO ABBA 1063,MOBILIARIO INFANTIL,2026-06-20,37751300,20.0,12.0,1957488.0,28,ACTIVO,6.67,1.8
13325,LLAMADIENTE GUANTE BABY GUM FZ 310,OTROS,2026-07-07,228657,8.0,277.0,1916563.0,11,ACTIVO,2.67,103.7
11550,VASO INFAN TEC BIP 1348,OTROS,2026-07-17,1137068,11.0,118.0,1892248.0,1,ACTIVO,3.67,32.2
14528,MALLA FRUTA BOOGY 21476,OTROS,2026-07-17,1156800,30.0,269.0,1866322.0,1,ACTIVO,10.0,26.9
14214,LLAMADIENTE SILICONA BL 2306 - 392,OTROS,2026-07-17,1633735,36.0,589.0,1865363.0,1,ACTIVO,12.0,49.1
7606,TOALLAS POSPARTO MATERNITY CLASICA,CUIDADO FEMENINO Y MATERNIDAD,2026-07-18,35780009,982.0,320.0,1835200.0,0,ACTIVO,327.33,1.0
13452,LLAMADIENTES BOOGY 21461,OTROS,2026-07-14,1891494,30.0,184.0,1833744.0,4,ACTIVO,10.0,18.4
14033,ENTRETENEDOR MAGEMIOR ONLY BL 2306-34,OTROS,2026-07-17,508235,21.0,806.0,1817530.0,1,ACTIVO,7.0,115.1
5716,TOALLITAS HAPPY & SOFT X 40,TOALLITAS HÚMEDAS Y PAÑITOS,2026-07-18,20258401,1430.0,567.0,1814400.0,0,ACTIVO,476.67,1.2
9131,CARRO MONTABLE CAMPIONI QX 3379,CAMINADORES Y MONTABLES,2026-07-11,5039187,21.0,60.0,1805580.0,7,ACTIVO,7.0,8.6
9252,CONJUNTO CARTERS X 3 SQ 108,OTROS,2026-07-07,3743848,11.0,79.0,1798988.0,11,ACTIVO,3.67,21.5
14076,MOVIL CUNA BABE BED BELL BL 2306-251,MOBILIARIO INFANTIL,2026-07-01,1560204,15.0,95.0,1791130.0,17,ACTIVO,5.0,19.0
14175,CHILLON FUNNY X 6 BL 2306 - 102,OTROS,2026-07-14,1954294,100.0,319.0,1753543.0,4,ACTIVO,33.33,9.6
13440,TETERO 15 OZ BOOGY 21475,BIBERONES Y EXTRACTORES,2026-07-06,4823620,4.0,127.0,1747774.0,12,ACTIVO,1.33,95.5
14089,BABERO SILICONA BABY BIBS BL 2306-348,ROPA Y TEXTIL,2026-07-17,1944811,42.0,310.0,1745610.0,1,ACTIVO,14.0,22.1
8678,COLONIA ARRURRU X 400 AZUL,ESTUCHES Y KITS REGALO,2026-07-17,30979560,72.0,49.0,1726319.0,1,ACTIVO,24.0,2.0
13310,ENTRETENEDOR MAGEMIOR LOT 085,OTROS,2026-07-17,184090,3.0,596.0,1697408.0,1,ACTIVO,1.0,596.0
14527,RODILLERA BOOGY 21398,OTROS,2026-07-15,2645860,63.0,381.0,1688973.0,3,ACTIVO,21.0,18.1
8945,ARNES MOBY BABY 800,OTROS,2026-07-14,1166182,30.0,130.0,1669330.0,4,ACTIVO,10.0,13.0
14472,ESTANTE ORGANIZADOR 4 PUESTOS ARMATY,OTROS,2026-07-01,11353506,13.0,23.0,1646915.0,17,ACTIVO,4.33,5.3
11000,BUSO CARTER X 5 REF 66006,OTROS,2026-07-06,4006296,4.0,80.0,1625520.0,12,ACTIVO,1.33,60.2
76,COLCHONETA GRANDE ABBA 1028,MOBILIARIO INFANTIL,2026-07-08,25063951,84.0,45.0,1617435.0,10,ACTIVO,28.0,1.6
14061,SONAJERO X 3 BABY RATTLES BL 2306-191,JUGUETES Y ACCESORIOS,2026-07-15,635658,33.0,583.0,1610829.0,3,ACTIVO,11.0,53.0
71,CORRAL DESARMABLE CASITA ABBA 09,MOBILIARIO INFANTIL,2026-07-18,39235292,17.0,8.0,1568264.0,0,ACTIVO,5.67,1.4
7690,VASO SIPPER CUP PRAKTIPLAS,OTROS,2026-07-14,3607076,264.0,1002.0,1560114.0,4,ACTIVO,88.0,11.4
459,COLONIA ARRURRU X 60 AZUL,ESTUCHES Y KITS REGALO,2026-07-18,39394451,308.0,145.0,1529750.0,0,ACTIVO,102.67,1.4
