anio_mes,categoria_producto,venta_bruta,venta_total,costo_total,utilidad_bruta,margen_bruto_pct
2024-11,MOBILIARIO INFANTIL,56110314.0,54733735.55,50474548.14,4259187.0,0.0778
2024-11,OTROS,57939188.0,56517741.0,53766146.18000001,2751595.0,0.0487
2024-11,PAÑALES,169725785.0,165561829.21,172765095.95999998,-7203267.0,-0.0435
2024-11,ROPA Y TEXTIL,4339848.0,4233376.65,4310805.43,-77429.0,-0.0183
2024-11,TOALLITAS HÚMEDAS Y PAÑITOS,43283600.0,42221704.81999999,44058687.33,-1836983.0,-0.0435
2024-12,ACCESORIOS BEBÉ,4681100.0,4566256.58,5366619.859999999,-800363.0,-0.1753
2024-12,ALIMENTACIÓN INFANTIL,5809700.0,5667168.129999999,6859677.870000001,-1192510.0,-0.2104
2024-12,ALIMENTOS Y BEBIDAS,626950.0,611568.78,740257.67,-128689.0,-0.2104
2024-12,ASEO HOGAR,4500.0,4389.6,5313.28,-924.0,-0.2105
2024-12,BAÑO BEBÉ (BAÑERAS Y BACINES),45034800.0,43929941.870000005,44844378.11,-914436.0,-0.0208
2024-12,BIBERONES Y EXTRACTORES,21242752.0,20721594.4,24388567.17,-3666973.0,-0.177
2024-12,CAMINADORES Y MONTABLES,80539400.0,78563492.16000001,86771881.32000002,-8208389.0,-0.1045
2024-12,COCHES Y PORTEO,19487500.0,19009404.799999993,16877138.65,2132266.0,0.1122
2024-12,CREMAS Y CUIDADO PIEL,7938450.0,7743692.629999999,3424107.04,4319586.0,0.5578
2024-12,CUIDADO FEMENINO Y MATERNIDAD,2716648.0,2649999.3200000003,2598885.5,51114.0,0.0193
2024-12,ESTUCHES Y KITS REGALO,95715379.0,93367152.17999999,118215778.03999999,-24848626.0,-0.2661
2024-12,HIGIENE PERSONAL,116818405.0,113952448.9,131735288.38,-17782839.0,-0.1561
2024-12,JUGUETES Y ACCESORIOS,8417001.0,8210503.069999999,9872304.86,-1661802.0,-0.2024
2024-12,MOBILIARIO INFANTIL,33873153.0,33042128.39,31389747.36,1652381.0,0.05
2024-12,OTROS,81629469.0,79626818.3,87402733.38,-7775915.0,-0.0977
2024-12,PAÑALES,193287286.0,188545285.63,228219789.73,-39674504.0,-0.2104
2024-12,ROPA Y TEXTIL,4555730.0,4443962.33,5241755.29,-797793.0,-0.1795
2024-12,TOALLITAS HÚMEDAS Y PAÑITOS,100797900.0,98324981.72999999,119014943.96,-20689962.0,-0.2104
2025-01,ACCESORIOS BEBÉ,6204130.0,6051921.45,5052077.580000001,999844.0,0.1652
2025-01,ALIMENTACIÓN INFANTIL,7812500.0,7620832.55,6327532.48,1293300.0,0.1697
2025-01,ALIMENTOS Y BEBIDAS,2417700.0,2358385.5400000005,1895809.38,462576.0,0.1961
2025-01,ASEO HOGAR,4500.0,4389.6,3644.66,745.0,0.1697
2025-01,BAÑO BEBÉ (BAÑERAS Y BACINES),48976950.0,47775377.17,40680570.36,7094807.0,0.1485
2025-01,BIBERONES Y EXTRACTORES,29320746.0,28601407.86,23734067.919999998,4867340.0,0.1702
2025-01,CAMINADORES Y MONTABLES,23081300.0,22515036.57,19166552.310000002,3348484.0,0.1487
2025-01,COCHES Y PORTEO,7116500.0,6941907.840000001,5574141.050000001,1367767.0,0.197
2025-01,CREMAS Y CUIDADO PIEL,9960904.0,9716528.859999998,4971246.090000001,4745283.0,0.4884
2025-01,CUIDADO FEMENINO Y MATERNIDAD,3149600.0,3072329.53,2443771.66,628558.0,0.2046
2025-01,ESTUCHES Y KITS REGALO,163729193.0,159712353.9,138468650.1,21243704.0,0.133
2025-01,FARMACIA Y BOTIQUÍN,239400.0,233526.7,193895.84,39631.0,0.1697
2025-01,HIGIENE PERSONAL,15196404.0,14823584.29,12307934.66,2515650.0,0.1697
2025-01,JUGUETES Y ACCESORIOS,6082800.0,5933568.050000001,4926606.67,1006961.0,0.1697
2025-01,MOBILIARIO INFANTIL,31606900.0,30831474.370000005,25571211.72,5260263.0,0.1706
2025-01,OTROS,68242300.0,66568082.769999996,55861045.98,10707037.0,0.1608
2025-01,PAÑALES,201415380.0,196473969.7,163131182.17000002,33342788.0,0.1697
2025-01,ROPA Y TEXTIL,3965800.0,3868505.36,3286397.1100000003,582108.0,0.1505
2025-01,TOALLITAS HÚMEDAS Y PAÑITOS,47790902.0,46618427.260000005,38707005.93,7911421.0,0.1697
2025-02,ACCESORIOS BEBÉ,10543250.0,10284587.899999999,8536557.74,1748030.0,0.17
2025-02,ALIMENTACIÓN INFANTIL,7024000.0,6851677.180000001,5640102.320000001,1211575.0,0.1768
2025-02,ALIMENTOS Y BEBIDAS,1396000.0,1361751.3699999999,1120057.17,241694.0,0.1775
2025-02,BAÑO BEBÉ (BAÑERAS Y BACINES),57187200.0,55784201.69,47590672.17,8193530.0,0.1469
2025-02,BIBERONES Y EXTRACTORES,30925200.0,30166498.939999998,24829577.04,5336922.0,0.1769
2025-02,CAMINADORES Y MONTABLES,34907200.0,34050806.68,28760974.099999998,5289833.0,0.1554
2025-02,COCHES Y PORTEO,3885400.0,3790077.81,3393414.93,396663.0,0.1047
2025-02,CREMAS Y CUIDADO PIEL,7053502.0,6880455.48,3691779.7599999993,3188676.0,0.4634
2025-02,CUIDADO FEMENINO Y MATERNIDAD,6522300.0,6362285.63,5326560.04,1035726.0,0.1628
2025-02,ESTUCHES Y KITS REGALO,64922252.0,63329486.51,58585324.2,4744162.0,0.0749
2025-02,HIGIENE PERSONAL,15595400.0,15212791.45,12522729.4,2690062.0,0.1768
2025-02,JUGUETES Y ACCESORIOS,8458550.0,8251032.74,6789168.029999999,1461865.0,0.1772
2025-02,MOBILIARIO INFANTIL,38274950.0,37335934.22,30623203.58,6712731.0,0.1798
2025-02,OTROS,120332669.0,117380496.25,97925343.19999999,19455153.0,0.1657
2025-02,PAÑALES,174565778.0,170283080.39,140172102.51,30110978.0,0.1768
2025-02,ROPA Y TEXTIL,8301650.0,8097982.080000001,6827438.71,1270543.0,0.1569
2025-02,TOALLITAS HÚMEDAS Y PAÑITOS,44236201.0,43150935.25,35520600.63,7630335.0,0.1768
2025-03,ACCESORIOS BEBÉ,12935050.0,12617708.88,10495913.499999998,2121795.0,0.1682
2025-03,ALIMENTACIÓN INFANTIL,6397300.0,6240352.24,5151859.7,1088493.0,0.1744
2025-03,ALIMENTOS Y BEBIDAS,3381350.0,3298393.9,2788134.33,510260.0,0.1547
2025-03,ASEO HOGAR,4500.0,4389.6,3623.93,766.0,0.1745
2025-03,BAÑO BEBÉ (BAÑERAS Y BACINES),45778550.0,44655444.97,37936120.32,6719325.0,0.1505
2025-03,BIBERONES Y EXTRACTORES,12738700.0,12426176.25,10149939.8,2276236.0,0.1832
2025-03,CAMINADORES Y MONTABLES,17542700.0,17112317.41,14687534.229999999,2424783.0,0.1417
2025-03,COCHES Y PORTEO,5225000.0,5096812.83,4411684.510000001,685128.0,0.1344
2025-03,CREMAS Y CUIDADO PIEL,8953150.0,8733498.6,5245213.85,3488285.0,0.3994
2025-03,CUIDADO FEMENINO Y MATERNIDAD,4784500.0,4667119.850000001,3761770.36,905349.0,0.194
2025-03,ESTUCHES Y KITS REGALO,114267300.0,111463930.99999999,102115654.69999999,9348276.0,0.0839
2025-03,FARMACIA Y BOTIQUÍN,39200.0,38238.29,31568.45,6670.0,0.1744
2025-03,HIGIENE PERSONAL,13769850.0,13432028.49,11089105.48,2342923.0,0.1744
2025-03,JUGUETES Y ACCESORIOS,5364000.0,5232402.6899999995,4317526.61,914876.0,0.1748
2025-03,MOBILIARIO INFANTIL,87526525.0,85379199.0,69959610.71000001,15419588.0,0.1806
2025-03,OTROS,58916901.0,57471467.730000004,46079307.65,11392160.0,0.1982
2025-03,PAÑALES,277901851.0,271083965.16,223799313.18,47284652.0,0.1744
2025-03,ROPA Y TEXTIL,6320600.0,6165534.050000001,5354139.44,811395.0,0.1316
2025-03,TOALLITAS HÚMEDAS Y PAÑITOS,49128800.0,47923501.94,39564298.400000006,8359204.0,0.1744
2025-04,ACCESORIOS BEBÉ,5504500.0,5369455.75,4438952.17,930504.0,0.1733
2025-04,ALIMENTACIÓN INFANTIL,9963600.0,9719158.68,8034870.32,1684288.0,0.1733
2025-04,ALIMENTOS Y BEBIDAS,1812500.0,1768033.1800000002,1419805.36,348228.0,0.197
2025-04,ASEO HOGAR,13500.0,13168.8,10886.7,2282.0,0.1733
2025-04,BAÑO BEBÉ (BAÑERAS Y BACINES),31037600.0,30276141.0,25594104.28,4682037.0,0.1546
2025-04,BIBERONES Y EXTRACTORES,32462150.0,31665742.21,26003161.6,5662581.0,0.1788
2025-04,CAMINADORES Y MONTABLES,29104400.0,28390369.27,23632047.720000006,4758322.0,0.1676
2025-04,COCHES Y PORTEO,20763800.0,20254392.77,16923323.91,3331069.0,0.1645
2025-04,CREMAS Y CUIDADO PIEL,6569100.0,6407937.490000001,3675877.0799999996,2732060.0,0.4264
2025-04,CUIDADO FEMENINO Y MATERNIDAD,5042100.0,4918400.039999999,3989145.4900000007,929255.0,0.1889
2025-04,ESTUCHES Y KITS REGALO,149019350.0,145363393.86,124097002.25,21266392.0,0.1463
2025-04,FARMACIA Y BOTIQUÍN,29400.0,28678.71,23708.82,4970.0,0.1733
2025-04,HIGIENE PERSONAL,9405800.0,9175043.629999999,7585047.9399999995,1589996.0,0.1733
2025-04,JUGUETES Y ACCESORIOS,6562550.0,6401548.09,5300436.009999999,1101112.0,0.172
2025-04,MOBILIARIO INFANTIL,56171950.0,54793859.26,45378754.86,9415104.0,0.1718
2025-04,OTROS,102319686.0,99809433.42000002,86770819.98,13038613.0,0.1306
2025-04,PAÑALES,231064100.0,225395304.82999998,186335268.59,39060036.0,0.1733
2025-04,ROPA Y TEXTIL,6876600.0,6707893.470000001,5942961.550000001,764932.0,0.114
2025-04,TOALLITAS HÚMEDAS Y PAÑITOS,45989900.0,44861609.99,37087286.08,7774324.0,0.1733
2025-05,ACCESORIOS BEBÉ,10155900.0,9906740.95,8249655.069999999,1657086.0,0.1673
2025-05,ALIMENTACIÓN INFANTIL,8247200.0,8044867.87,6684234.279999999,1360634.0,0.1691
2025-05,ALIMENTOS Y BEBIDAS,1312500.0,1280299.8800000001,1074587.7899999998,205712.0,0.1607
2025-05,BAÑO BEBÉ (BAÑERAS Y BACINES),43935100.0,42857221.08,36680089.47,6177132.0,0.1441
2025-05,BIBERONES Y EXTRACTORES,40287550.0,39299158.22,32334187.310000002,6964971.0,0.1772
2025-05,CAMINADORES Y MONTABLES,23917600.0,23330819.24,19637408.740000002,3693410.0,0.1583
2025-05,COCHES Y PORTEO,14126500.0,13779928.499999998,9533220.87,4246708.0,0.3082
2025-05,CREMAS Y CUIDADO PIEL,14132450.0,13785732.580000002,7141062.180000001,6644670.0,0.482
2025-05,CUIDADO FEMENINO Y MATERNIDAD,7305200.0,7125978.39,5790832.4799999995,1335146.0,0.1874
2025-05,ESTUCHES Y KITS REGALO,130463250.0,127262538.77000001,116245270.58000001,11017268.0,0.0866
2025-05,HIGIENE PERSONAL,13137400.0,12815094.55,10647669.520000001,2167425.0,0.1691
2025-05,JUGUETES Y ACCESORIOS,12477350.0,12171237.73,10098056.96,2073181.0,0.1703
2025-05,MOBILIARIO INFANTIL,48479650.0,47290277.85,38681285.16,8608993.0,0.182
2025-05,OTROS,77555397.0,75652697.46000001,62792911.57,12859786.0,0.17
2025-05,PAÑALES,229086250.0,223465978.64,185671035.85,37794943.0,0.1691
2025-05,ROPA Y TEXTIL,5233750.0,5105348.260000002,4440933.42,664415.0,0.1301
2025-05,TOALLITAS HÚMEDAS Y PAÑITOS,82718201.0,80688839.7,67041885.04,13646955.0,0.1691
2025-06,ACCESORIOS BEBÉ,6462650.0,6304099.000000001,5277642.77,1026456.0,0.1628
2025-06,ALIMENTACIÓN INFANTIL,8153400.0,7953369.11,6658372.7,1294996.0,0.1628
2025-06,ALIMENTOS Y BEBIDAS,1042050.0,1016484.9500000001,850977.1800000002,165508.0,0.1628
2025-06,BAÑO BEBÉ (BAÑERAS Y BACINES),32259600.0,31468161.189999998,26344401.290000003,5123760.0,0.1628
2025-06,BIBERONES Y EXTRACTORES,20453550.0,19951754.37,16703137.280000001,3248617.0,0.1628
2025-06,CAMINADORES Y MONTABLES,22155650.0,21612095.9,18093136.019999996,3518960.0,0.1628
2025-06,COCHES Y PORTEO,12569400.0,12261029.540000001,10264644.179999996,1996385.0,0.1628
2025-06,CREMAS Y CUIDADO PIEL,9212550.0,8986534.58,7523314.33,1463220.0,0.1628
2025-06,CUIDADO FEMENINO Y MATERNIDAD,2789900.0,2721454.23,2278337.15,443117.0,0.1628
2025-06,ESTUCHES Y KITS REGALO,86937200.0,84804332.03,70996183.89,13808148.0,0.1628
2025-06,HIGIENE PERSONAL,8885850.0,8667849.71,7256518.98,1411331.0,0.1628
2025-06,JUGUETES Y ACCESORIOS,6768950.0,6602884.409999999,5527778.84,1075106.0,0.1628
2025-06,MOBILIARIO INFANTIL,38167800.0,37231412.89,31169259.19,6062154.0,0.1628
